# 2023/12/04 - 15:38 | PDB: 48.23 | UniProt: 2024.01
PDB	CHAIN	SP_PRIMARY	SF_DOMID	FA_DOMID
2zjr	S	Q9RX88	8038580	8026201
1dfu	P	P68919	8042538	8030159
4wf9	S	Q2FJE0	8082277	8082276
6spf	V	A0A072ZBM5	8096076	8096075
5wf0	V	B7LAK9	8097308	8097307
3swf	B	Q00194	8091636	8045716
1grn	B	Q07960	8038518	8026139
3qis	A	Q01968	8053473	8053472
1wer	A	P20936	8057921	8018882
5irc	A	P81128	8079465	8079464
3byi	A	Q53QZ3	8084524	8084523
1nio	A	P22851	8036847	8024468
1bry	Y	P33185	8036971	8024592
1hwm	A	Q9AVR2	8036987	8024608
6z1y	C	Q9LRE3	8093774	8093773
1o51	A	Q9WXM9	8037210	8024831
1uku	A	O58720	8041866	8029487
1ul3	A	Q55247	8041867	8029488
1vfj	A	P83820	8043076	8030697
3ahp	A	E7FH74	8063690	8063689
2gw8	A	Q9JXK6	8074413	8074412
4ozn	C	B8ZYW1	8074433	8074432
6gdu	A	Q31KX8	8095767	8095766
6t7e	D	Q8YL42	8100298	8100297
2ztn	A	Q1AHU7	8093115	8093113
1ihm	A	Q83884	8093126	8093127
1kg0	C	P03205	8040257	8027878
1gz2	A	Q9PRS8	8044478	8032100
3wsr	A	Q9P126	8065442	8065441
2zib	A	A0ZT93	8065466	8065465
3ubu	B	Q8AYA3	8065478	8065477
3gpr	D	D2YW40	8065482	8065481
3ff9	A	O88713	8065504	8065503
3cad	A	Q60654	8065516	8065515
3wh2	A	Q9ULY5	8072461	8072460
6a7t	A	A0A2Z6G7U6	8096710	8096709
6jjj	D	P70194	8098922	8098921
6py1	A	Q8IUN9	8100160	8100159
7odu	B	Q0H8B9	8107798	8107797
3sf4	D	Q1MX18	8092838	8046085
4oa3	A	G2EA45	8092835	8046087
4gwb	A	Q92Y45	8081989	8081988
5ok8	A	P0A0V1	8092855	8092853
4arm	B	Q57159	8092867	8092866
4dhx	A	O60318	8092873	8046123
1gc5	A	Q7M537	8032733	8020353
1esj	A	P39593	8032780	8020400
1ua4	A	Q9V2Z6	8041690	8029311
5o0j	A	O58328	8066075	8066074
6cw5	A	J9VQ51	8075345	8075344
2hqq	A	P50053	8075377	8075376
3bf5	A	Q9HJT3	8075379	8075378
3iq0	A	A0A0H2VDX9	8085652	8085651
3cqd	A	P06999	8086922	8086921
6p2d	A	P97328	8093866	8093865
1kn3	A	Q8VIN1	8040494	8028115
1a44	A	P13696	8041128	8028749
1azs	A	P30803	8035568	8023188
1cez	A	P00573	8037503	8025124
1khv	A	P27410	8038256	8025877
1gx5	A	P26663	8039235	8026856
1s48	A	P19711	8041330	8028951
4eu0	A	Q9HZE7	8053753	8046398
4ni2	A	Q02108	8064536	8064535
5d0e	A	V7LAR8	8088296	8088295
5xox	A	P53215	8090898	8090897
2qv6	B	Q57609	8104111	8046902
5lpn	B	Q8TDZ2	8092905	8047252
1wii	A	P60003	8043575	8031197
6j51	M	C4QZ45	8097424	8097423
4i0o	A	Q8CJF7	8092552	8045989
5t7x	A	Q3KSS4	8071474	8071473
1ezr	A	P83851	8032663	8020283
5mj7	B	Q9XWN7	8080179	8080178
6zk3	A	B6THD4	8106134	8106133
2kes	A	Q9Y6H5	8092557	8045992
1olm	E	O76054	8037983	8025604
3nrh	A	Q64XJ4	8092580	8045996
4ylc	A	D0KNS6	8085838	8085837
3n3e	B	Q8UUZ6	8089920	8062165
4dgw	C	Q07350	8093058	8046219
4d7x	A	Q6FRS9	8057054	8046443
2r42	A	P17256	8036577	8024198
6q04	A	K0BRG7	8092677	8092676
6b7n	A	A0A075E3D7	8092709	8092708
6q04	A	K0BRG7	8092679	8092678
3jb9	M	Q09882	8092738	8050828
5lqw	M	P28004	8092739	8050829
5mqf	C	Q13573	8092740	8079480
5cz3	A	Q9Q8N4	8092770	8051312
2nr5	C	Q8EDS4	8034833	8022453
1dds	A	P0ABQ4	8032695	8020315
1df7	A	P9WNX1	8032720	8020340
1aoe	A	P22906	8032748	8020368
2fzi	A	P16184	8041552	8029173
2hxv	A	Q9X2E8	8042483	8030104
3q1h	A	A0A3N4BLI0	8068957	8068956
4fgg	A	P0A017	8068961	8068960
3qfx	B	Q27783	8078635	8078634
7rgj	B	P00382	8107582	8107581
7rgo	A	P11731	8107592	8107591
2y6t	E	B1JSA0	8078950	8078949
1yuz	B	P30820	8034930	8022550
6rxn	A	P04170	8039180	8026801
2dsx	A	P00270	8039891	8027512
1dfx	A	P22076	8055452	8055451
2jz8	A	A0A0H3M3K8	8091044	8051762
2jvm	A	Q3IZ23	8091047	8051764
5gup	F	F1S031	8091048	8078979
1ykw	A	Q8KBL4	8034674	8022294
1jzn	A	P21963	8032313	8019933
1ypq	A	P78380	8034834	8022454
1koe	A	P39061	8037145	8024766
1jwi	A	Q7LZK5	8037425	8025046
1pwb	A	P35247	8039230	8026851
2e2a	A	P23532	8034980	8022600
3k1s	G	A0A6H3A5D1	8096678	8096677
1wvf	A	P09788	8033320	8020940
1vkb	A	Q923B0	8041370	8028991
1vqo	1	P32410	8032609	8020229
4v51	B6	P35871	8033191	8020811
5xym	1	A0R551	8075048	8075047
3j7y	1	O75394	8075050	8075049
5mlc	3	P28805	8075064	8075063
5li0	5	Q2FY22	8075068	8075067
3j9w	B5	P56849	8075070	8075069
4v6u	AY	Q8U443	8088663	8088662
6v39	0	N9PPR9	8094531	8094530
4v8m	Bs	P21899	8098578	8098577
6th6	Bl	Q5JE51	8099626	8099625
4v6u	Bi	Q8TZI4	8100256	8100255
6d90	p	G1SY53	8101435	8101434
4v6w	Cm	P18101	8101527	8101526
6y57	Lp	P61513	8101551	8101550
3jbp	Af	Q8ID50	8101707	8101706
4v6w	Cp	Q9VMU4	8101753	8101752
7nhn	6	P66219	8103144	8103143
7old	Lp	G0S6B0	8106178	8106177
6az3	m	A0A3Q8ISR1	8107096	8107095
7otc	0	A0A140NAZ2	8107458	8107457
1ihm	A	Q83884	8093128	8093127
2veq	A	P40969	8093129	8046237
1ris	A	P23370	8035475	8023095
5t7v	SE	W8TPC6	8066491	8066490
6awb	I	B7NGD4	8066493	8066492
3r3t	A	Q81JI2	8066501	8066500
6o8w	f	A0A1B4XKB6	8096424	8096423
6fxc	Af	Q2YVJ2	8099328	8099327
7nhn	g	Q8YAR9	8103204	8103203
7otc	f	A0A140NGG7	8107464	8107463
2hgk	A	Q46919	8034210	8021830
1twf	A	P04050	8042682	8030303
5fsw	A	G2R911	8055687	8046929
2o8p	A	Q5CYG0	8035036	8022656
4o46	E	P61981	8082813	8082812
1yz5	A	P31947	8082819	8082818
5lvz	A	C5DN49	8082823	8082822
5n6n	A	P29311	8082825	8082824
4dx0	A	O49997	8082829	8082828
5by9	B	Q2QBT8	8082831	8082830
7x78	A	A6TD81	8107162	8107161
2mcf	A	C5A217	8093186	8093185
1i4u	A	P80029	8033651	8021271
1gm6	A	P81608	8038742	8026363
2fs6	A	P29373	8041239	8028860
1aqb	A	P27485	8042581	8030202
1dzk	A	P81245	8042601	8030222
1bj7	A	Q28133	8042607	8030228
1xcr	A	Q9H0W9	8033669	8021289
2h6l	A	O30132	8042177	8029798
2hx0	A	Q57K43	8042461	8030082
2dt4	A	O58532	8064102	8064101
5fig	C	O07571	8054064	8045022
5fje	A	A0A0M3KL60	8061815	8061814
3tl4	X	P13188	8092916	8092914
2b2a	A	O77448	8092918	8046517
3l8n	A	Q9Y6D5	8080824	8080823
1a32	A	P05766	8036747	8024368
2zko	A	P03496	8071726	8071725
2z0a	A	Q5H7J4	8071728	8071727
5tcu	S6	Q2G2Q1	8072621	8072620
6ypu	p	D0CAU9	8097478	8097477
7jil	t	A0A1M6QTP8	8101964	8101963
7otc	o	A0A140N811	8107450	8107449
1nvm	A	P51016	8033650	8021270
2bm0	A	P13551	8038318	8025939
3fd9	C	A0A0H2Z989	8092999	8046167
1o5z	A	Q9WY13	8037263	8024884
1j6u	A	Q9WY73	8091457	8003631
6ky4	A	Q8GY89	8100142	8100141
1miu	A	P97929	8043581	8031203
2lom	A	Q9Y241	8093014	8046179
1cbk	A	P43777	8035593	8023213
5a8r	I	P58816	8073481	8073480
5n28	C	H1KXL6	8073485	8073484
7b2c	F	A0A7R9R6T0	8107132	8107131
1ieg	B	P16753	8033924	8021544
1a49	A	P11974	8042524	8030145
2vgb	A	P30613	8043047	8030668
1hf8	A	O55012	8035552	8023172
1b64	A	P24534	8035462	8023082
3hkz	Y	Q980B8	8093030	8047258
2hkv	A	B1YEV7	8034223	8021843
2f22	A	Q9RC77	8040478	8028099
3h3m	A	A0A0H3LVQ9	8092871	8047156
3v3k	J	Q8XAL7	8093005	8046176
1gs5	A	P0A6C8	8038863	8026484
4axs	A	Q8EVF4	8074391	8074390
3zzf	A	Q01217	8084042	8084041
3t7b	A	Q8ZA87	8088682	8088681
4xin	A	A0A0J9X263	8093055	8047265
2apj	A	Q8L9J9	8037225	8024846
4jgg	A	Q9HZY8	8076011	8076010
4knc	A	Q51372	8093023	8046200
7c2a	A	A0A4P1LYH5	8096832	8096831
6d7u	A	A0A1S6R2B6	8087874	8087873
3m5g	A	B7NY59	8087882	8087881
5w08	B	R4L1D1	8087886	8087885
5v2a	A	A0A0R5TXT5	8096300	8096299
6ur5	C	M1UPL4	8098058	8098057
6wez	A	A0A5P1MU07	8102032	8102031
2i6h	A	A9CKP1	8034401	8022021
1nzn	A	Q9Y3D6	8037127	8024748
2awi	A	Q04114	8037422	8025043
2ff4	A	P9WGJ9	8040843	8028464
1iyg	A	Q9CQ92	8042587	8030208
1kt1	A	Q9XSH5	8042826	8030447
4abn	A	Q99LG4	8053809	8053808
3jck	D	Q06103	8057042	8045188
5fsh	A	Q53W17	8090355	8045375
4uer	c	A0A0J9X231	8093046	8047256
5j90	A	A5FB66	8097122	8097121
7tt1	D	A0A1X3I1M6	8107046	8107045
1dgz	A	P80256	8039280	8026901
6ha1	4	P20278	8083304	8083303
5hl7	4	Q2FW29	8083312	8083311
6o90	6	A0A1B4XKT9	8096456	8096455
6yhs	b	D0CD18	8097522	8097521
1x38	A	Q9XEI3	8033576	8021196
6so5	F	P49069	8101856	8101855
6ww7	F	Q9BV81	8101858	8101857
2qzu	A	Q64XZ4	8090540	8060828
3ke4	A	Q813T7	8064685	8064684
4igl	A	B6A880	8102233	8051661
1win	A	Q60634	8043584	8031206
4tqm	A	H6CS64	8102238	8048862
1e3o	C	P14859	8017635	8002398
1u78	A	P34257	8044640	8003600
4uer	O	A0A0J9X217	8052949	8050315
3jam	N	Q6CJK0	8052967	8050309
4ix7	A	Q8SYK5	8054122	8045029
1kon	A	P0A8A0	8054409	8028151
4hri	B	P27709	8055698	8051721
2oi8	A	Q9KXS8	8056395	8056394
2o7t	A	Q8NQ14	8056398	8056397
1rkt	A	O31560	8056405	8056404
2g3b	B	Q0S8G3	8056411	8056410
2gen	A	Q9I2Q9	8056433	8056432
2fx0	A	Q7X506	8056448	8056447
2a2u	A	P02761	8042627	8030248
1bwy	A	P10790	8042646	8030267
1xki	A	P31025	8043963	8031585
4l3r	A	4L3R_A	8052627	8044953
4zgf	A	A6L3L5	8052628	8044954
2xkl	A	Q9Z1R3	8052636	8045816
1y9l	A	P0A1X2	8052639	8046460
3rwx	A	Q5LBW6	8052648	8052646
4uu3	A	C6F3U5	8061208	8061207
4a60	A	Q0Z7S8	8062805	8062804
6c1z	A	O02324	8062825	8062824
3ia8	A	Q8WY91	8066457	8066456
2r73	B	Q29147	8070890	8070889
4odd	B	J9P950	8070916	8070915
6i8x	A	P55776	8098756	8098755
3hkz	G	Q980L5	8093393	8046455
5crl	A	P0A183	8086656	8075302
1r8e	A	P39075	8093204	8026403
1miw	A	Q7SIB1	8043590	8031212
4uc1	A	Q9RFC8	8094203	8051069
6o8w	j	A0A1B4XKR5	8096432	8096431
4v48	BJ	P0A7R6	8098354	8098353
6c5l	CJ	P80375	8098936	8098935
6fxc	Aj	Q2YYP5	8099360	8099359
6gov	E	P0A7R7	8102120	8102119
4v6r	AM	P0A7R5	8102681	8102680
7s1k	q	V0ANK5	8106372	8106371
4hks	A	Q9U6B8	8095816	8050080
4z3u	B	G3G955	8093307	8050815
1m5h	A	O28076	8041626	8029247
5kue	A	Q8NE86	8093387	8046315
3i57	A	Q9RGN5	8095855	8095854
5id3	E	Q21121	8093388	8046316
5huf	A	A0A0C4X0C0	8087784	8087783
4f3z	C	Q8QT89	8087788	8087787
4gms	A	P03435	8087816	8087815
4we5	A	Q1PUD9	8087820	8087819
1qfu	A	P03438	8087830	8087829
6fyu	A	A0A097PHH8	8087864	8087863
4h40	B	Q5LBF9	8102576	8051206
1dli	A	P0C0F4	8056190	8001154
1mv8	A	P11759	8056193	8056191
1hsm	A	P07156	8036765	8024386
1qrv	A	Q05783	8036769	8024390
1k99	A	P17480	8037942	8025563
1wxl	A	Q05344	8073198	8073197
2mrc	A	Q8IB14	8073202	8073201
3f27	D	Q61473	8073218	8073217
1vhn	A	Q9WXV1	8017570	8003352
2fpv	A	Q02127	8044611	8044610
1ea0	A	Q05755	8056848	8056847
1icp	A	Q9XG54	8058070	8058069
2b4g	A	Q57U83	8058080	8058079
1uum	A	Q63707	8058082	8058081
1jue	A	A2RJT9	8058084	8058083
3w02	B	A7X435	8064078	8064077
2hs8	B	Q9FEW9	8082035	8082034
6aje	A	U6KL66	8095539	8095538
2j5y	A	Q51911	8034625	8022245
2fs1	A	Q51918	8078285	8078284
7rxc	B	P99134	8105461	8105460
1sa0	E	P63043	8041515	8029136
2dek	A	O58456	8057814	8057813
1ve2	A	Q53WA2	8057824	8057823
1u7n	B	Q82ZE8	8040748	8028369
4ja8	A	P48735	8067344	8067343
3us8	B	Q92PG6	8067346	8067345
5yvt	A	P50213	8073659	8073658
3ty4	B	O14104	8073663	8073662
3vkz	A	Q8E9N3	8076907	8076906
5grh	B	P51553	8076919	8076918
6g3u	A	Q9I0L4	8077771	8077770
5kvu	D	O53611	8077773	8077772
1yxo	A	Q9I5U4	8078252	8078251
4e4r	A	Q6GJ80	8080674	8080673
1zru	C	Q71AW2	8036189	8023809
4zdg	A	D6BP13	8071491	8071490
3l89	E	Q2KS96	8071495	8071494
3bq4	A	Q7T925	8071497	8071496
2bt8	A	O12287	8092990	8046162
2vrs	B	Q992I2	8092993	8046163
1z8g	A	P05981	8035378	8022998
7c00	A	Q6ZMJ2	8099862	8099861
7bzz	D	Q8K299	8100172	8100171
2gmh	A	P55931	8001550	8001420
1jb0	C	P0A415	8034277	8021897
1iqz	A	P10245	8036711	8024332
2v4j	B	P45575	8037238	8024859
2fug	9	Q56224	8041354	8028975
1kqf	B	P0AAJ3	8042132	8029753
2zvs	A	P52102	8067876	8067875
6kif	g	Q31QV2	8093730	8093729
7dr2	cC	P31173	8106553	8106552
7f4v	bC	Q7NG86	8107302	8107301
1kf6	A	P00363	8056077	8056075
3loc	A	P0ACU2	8056463	8056462
1x2m	A	Q8C172	8056696	8002350
2cu7	A	Q5VVJ2	8057556	8002302
1h8a	C	P01104	8057561	8002305
1a5j	A	Q03237	8057570	8002310
1h88	C	P06876	8057579	8002314
2cue	A	P26367	8057586	8002345
1puf	B	P40424	8057597	8002359
1wh5	A	Q9FKP8	8057599	8002363
1k78	A	Q02548	8057627	8002437
1iuf	A	P49777	8057633	8002452
2roh	A	Q9LL45	8059561	8059560
2dce	A	Q5VVJ2	8066218	8066217
4ac6	A	Q8NQ97	8080812	8059589
3e7q	B	Q9HUI1	8087046	8080815
2elj	A	Q02336	8087166	8087165
2juh	A	Q84ZU4	8087318	8087317
3pas	A	A1U0I5	8090087	8045312
3qkx	B	P44923	8090102	8087033
3cdl	B	Q87Z81	8090115	8049761
2of7	A	Q9EWH2	8090190	8086680
2eh3	A	O67157	8090192	8087295
2dg8	A	Q93J02	8090202	8088737
2ys9	A	Q8IX15	8103583	8046670
2vy1	A	Q00958	8105538	8047076
2ey4	A	Q7LWY0	8040330	8027951
1v9k	A	P0AA39	8041225	8028846
1qor	A	P28304	8000823	8000821
4v4o	O	P61492	8054257	8054256
1e3i	A	Q9QYY9	8057527	8057526
1tt7	A	O07615	8057548	8057547
1kol	A	P46154	8057652	8057651
2csv	A	Q14134	8033690	8021310
2ebe	B	Q5SM82	8102272	8046529
3oq2	A	Q72WF4	8086628	8086627
1u8s	A	Q9KQ45	8003859	8003858
1u8s	A	Q9KQ45	8003860	8003858
2fgc	A	Q9WZ19	8044615	8044614
3ced	A	Q99VG8	8057816	8018388
2l48	A	Q8LTE6	8106453	8047244
7ksq	H	A9TCU9	8107224	8107223
1aol	A	P03390	8041202	8028823
4qb7	A	A6L3B5	8102550	8048303
3sy6	A	Q5LE92	8102552	8048305
4qb7	A	A6L3B5	8102555	8048303
3ufi	A	A7M4D9	8102556	8048302
3r4r	A	A6LHQ9	8102563	8048043
1v9w	A	Q9CQM5	8041227	8028848
1tu7	A	P46427	8042647	8030268
2ifq	A	P10599	8042720	8030341
1gnw	A	P46422	8044380	8032002
1q98	A	Q57549	8057853	8057852
2b7j	B	P23833	8057875	8057874
1x0r	A	Q9Y9L0	8057914	8057913
2lns	A	O95994	8068368	8068367
5gtx	A	A0A1W6I4R7	8075858	8075857
3d5j	B	P17695	8075870	8075869
2ywm	D	O66753	8078229	8078228
4yod	A	A5ZHK4	8094221	8094217
6rfr	H	F2Z6C0	8097760	8097759
6r7p	A	O66842	8098206	8098205
4hs1	A	P95106	8098974	8098973
6yt3	B	A0A0U0X1R7	8101906	8101905
7b0n	S	A0A1H6PJS3	8102587	8102586
7ncv	A	A8IYH1	8103302	8103301
7xao	A	V5VGM8	8107832	8107831
1yym	G	P35961	8035030	8022650
6bf4	A	D7S2G1	8080393	8080392
6ce0	G	A4ZPX1	8097114	8097113
6okp	D	B3UES2	8097270	8097269
2m5o	A	Q9UMS0	8058858	8058857
3lno	A	A0A6L8PPP9	8085644	8085643
3dso	A	Q58AD3	8102763	8046569
1ef8	A	P52045	8057996	8057995
5jbw	A	Q1D5Y4	8059920	8059919
6u48	C0	A0A073UEE9	8096086	8096085
6vyu	f	A0A659KGZ9	8096918	8096917
6yhs	V	D0CD15	8097518	8097517
6pj6	h	L2VFR0	8098028	8098027
7m4x	Y	A0A062FG91	8103016	8103015
7nhn	3	Q927M5	8103216	8103215
1gu1	A	P15474	8039063	8026684
2uyg	A	Q5SIL5	8077705	8077704
4l8l	A	O30557	8077707	8077706
1rki	A	Q8ZYK2	8032312	8019932
5iwk	A	Q9R186	8089818	8049028
1vly	A	P0ADE8	8056088	8056086
3ay5	A	O95273	8105310	8105309
3fes	A	Q18CA9	8099204	8099203
3gee	A	Q8KAS1	8056836	8056835
1h7w	A	Q28943	8001521	8001470
4n7r	B	P42804	8091375	8089293
1ng7	A	P03300	8033298	8020918
1jkx	A	P08179	8002474	8002473
1meo	A	P22102	8057807	8057806
3c1b	D	Q28D68	8039681	8027302
1tzy	D	P62801	8040598	8028219
1s32	A	P84233	8041272	8028893
1h3o	B	Q16514	8042408	8030029
1n1j	A	P25208	8043979	8031601
3ksy	A	Q07889	8057963	8018971
1wwi	A	Q5SI95	8057989	8018985
3x1s	D	P33778	8066269	8066268
3x1t	G	Q8CGP4	8067124	8067123
3lel	G	Q6AZJ8	8067126	8067125
5b1l	C	C0HKE1	8067134	8067133
2yfw	E	Q6CTI2	8070537	8070536
6y36	B	A0A229Y8Y1	8096606	8096605
7bg9	M	B4DR52	8103088	8103087
7lv8	G	D2XB49	8103094	8103093
7kbe	G	Q6DKE3	8104329	8104328
7m1x	C	P0C0S6	8105429	8105428
7trf	E	A0A024RAS2	8107028	8107027
7xct	F	A0A3P9NC92	8107078	8107077
1hyu	A	P19480	8001542	8001483
2b5e	A	P17967	8002749	8002744
2b5e	A	P17967	8017534	8002741
1fw1	A	O43708	8032431	8020051
1k0m	A	O00299	8037747	8025368
2caq	A	P30113	8038601	8026222
2c0g	A	O44342	8039040	8026661
1t3b	A	P45111	8039918	8027539
1r5p	A	Q8YT41	8040350	8027971
1ttz	A	Q8P6W3	8040427	8028048
4fn7	C	P96907	8059946	8059945
3ome	F	A0R1R4	8067179	8067178
3h02	F	Q7CQ56	8067185	8067184
3kqf	B	A0A6L8PDF4	8067205	8067204
3trr	D	B1ML12	8067227	8067226
3p2l	E	Q5NH47	8068477	8068476
6dkf	A	A6QF76	8068483	8068482
3r9t	A	Q73WL5	8077567	8077566
3r9s	A	A0A0H2ZTH2	8077569	8077568
2f9i	A	Q2FG38	8099262	8099261
2r2c	B	Q9S3Q1	8102766	8046621
1ufm	A	O88544	8002587	8002586
1y0u	A	O30069	8002621	8002620
1r1u	A	O85142	8002650	8002649
1rz4	A	Q9UBQ5	8002864	8002863
1u5t	A	Q12483	8002878	8002877
2fok	B	P14870	8002916	8091677
2p8t	A	O58461	8002939	8002938
2bby	A	P13984	8003005	8003004
2a5y	B	P30429	8003079	8058308
2v7f	A	Q9V0G8	8003150	8003149
1jgs	A	P27245	8003211	8003210
1xn7	A	P64638	8003300	8003299
1ldj	A	Q13616	8003455	8003454
1z6r	A	P50456	8017627	8003345
2oz6	A	P55222	8017683	8002730
2zcw	A	Q5SIL0	8017715	8002760
1ft9	A	P72322	8017726	8002764
3euh	E	P22524	8053907	8045685
3deu	A	P40676	8054302	8054300
3bro	A	Q04CY6	8054308	8054307
2fbk	A	Q9RV71	8054326	8054325
3jaq	K	Q6CVZ5	8055704	8051605
2nra	C	P03067	8056262	8056260
1dux	C	P19419	8056287	8003122
2cfx	A	P96582	8056308	8056307
3jck	D	Q06103	8057044	8057043
2iss	D	Q9WYU3	8080558	8080557
2ywj	A	Q59055	8080562	8080561
2h2w	A	Q9WZY3	8086616	8086615
4l7q	A	Q6NY42	8088115	8088114
1vco	A	Q5SIA8	8089719	8089718
4tzk	A	P9WGR1	8054262	8054261
1uzn	A	P9WGT3	8055985	8055984
1yb1	A	Q8NBQ5	8057149	8057148
1cyd	A	P08074	8057167	8057166
1i24	A	O48917	8058104	8058103
1orr	A	P14169	8058108	8058107
2c59	A	Q93VR3	8058114	8058113
2rhc	A	P16544	8058471	8058470
1uls	A	Q5SK98	8058473	8058472
2a4k	A	Q53WH2	8058475	8058474
1uay	A	Q7SIA1	8058495	8058494
1bxk	B	P27830	8058499	8058498
1g1a	A	Q9EU31	8058501	8058500
1rpn	A	Q51366	8058505	8058504
1pr9	A	Q7Z4W1	8058521	8058520
5trt	A	Q3JQY0	8063138	8063137
2o2s	B	Q6UCJ9	8063162	8063161
2ntv	A	Q9CBM1	8063166	8063165
3ai1	A	A4PB64	8063184	8063183
2b4q	A	Q9RPT1	8063212	8063211
3ctm	A	B2KJ46	8063224	8063223
4yqz	A	Q746L9	8063234	8063233
5k9z	A	Q13HC1	8063240	8063239
4e3z	B	Q2K3F6	8063242	8063241
4ni5	A	B0CGS2	8063246	8063245
4ure	A	Q5P8S7	8063268	8063267
5wul	A	A0A192ICX3	8063276	8063275
2z1n	A	Q9YDK1	8063288	8063287
4egf	A	A0QXD6	8063290	8063289
5jc8	A	Q13GE3	8063292	8063291
2pk3	A	Q6T1X6	8066222	8066221
4o5o	A	A0A0H3G6B0	8066816	8066815
3rro	A	Q9KQH7	8066832	8066831
4nbt	A	A9NFJ2	8066836	8066835
3vtz	A	Q97CM7	8066898	8066897
2ph3	A	Q5SL78	8066902	8066901
4cr6	B	P22441	8066950	8066949
3imf	A	A0A6L8NTZ6	8066952	8066951
4kwh	A	Q9ZGC1	8067000	8066999
2dkn	A	Q59718	8067004	8067003
1ylf	A	Q81EX1	8058027	8058026
2dll	A	Q15306	8077685	8077684
3f6v	A	Q0S966	8078303	8078302
3cuo	D	P77295	8078305	8078304
4y66	E	E2RTU1	8089878	8045250
5doo	A	Q68XQ5	8090241	8090237
4v8m	AU	Q57XX0	8090998	8051329
1j5y	A	Q9X1T8	8091655	8002582
4uer	c	A0A0J9X231	8093053	8093049
3dp7	A	A6KZ44	8093256	8060835
5xoh	A	A0A166U5H3	8093266	8081395
5icg	A	Q5C9L7	8093268	8081396
2l2o	A	Q9P1F3	8094206	8050454
2zkz	C	O31178	8098140	8098139
5opt	n	Q4E088	8099478	8099477
7ls2	v2	P63325	8105824	8105823
3kn1	A	Q9H4A6	8106701	8047510
1s2d	B	Q8RLY5	8041249	8028870
3kou	B	Q9TTF5	8079689	8079688
5eof	A	Q96CV9	8102934	8046680
1smy	F	Q5SKW1	8039616	8027237
1x1i	A	Q9AQS0	8033534	8021154
1f1s	A	Q53591	8035676	8023296
3bvu	A	Q24451	8039564	8027185
2f2h	A	P31434	8040490	8028111
1cb8	A	Q59288	8041536	8029157
1nsz	A	Q9ZB17	8057614	8002392
3imh	A	Q5FJ46	8088196	8088195
3e7j	A	C6XZB6	8090362	8050264
3a0o	A	A9CEJ9	8090366	8050266
5djw	A	Q8A2K6	8090448	8090447
3lpp	B	P14410	8093208	8046257
3l4u	A	O43451	8093217	8046258
4fnq	A	Q934H7	8093332	8046288
3wvf	B	Q1R4M9	8101839	8050685
3brv	C	O14920	8102935	8047312
6y43	A	Q8NI99	8100198	8100197
1oi4	A	P45470	8032331	8019951
1i1q	B	P00905	8033536	8021156
2gk3	A	Q8ZLF9	8034067	8021687
1p5f	A	Q99497	8038244	8025865
1sy7	A	Q9C168	8042365	8029986
7nrz	H	Q4DRD8	8106577	8106576
1gzd	A	P08059	8039347	8026968
1x94	A	Q9KPY2	8041816	8029437
3j7p	SA	Q4GWZ2	8052794	8044911
5xxu	A	Q8MPF7	8063810	8063809
6az1	B	A4IDS4	8063814	8063813
5myj	AB	A2RNV0	8063834	8063833
2x3y	A	Q93UJ2	8088718	8088717
6skf	Ab	Q5JJD2	8099654	8099653
7pnu	B	Q924T2	8107814	8107813
1msk	A	P13009	8037194	8024815
1jh6	A	O04147	8037017	8024638
2ilx	A	P13233	8042793	8030414
2fyh	A	Q8U4Q3	8086038	8086037
5uqj	A	Q12208	8090907	8090906
3v92	A	P09917	8098328	8098327
2hmv	A	O32080	8057613	8003954
3cin	A	Q9X1D6	8035968	8023588
1obf	O	P83696	8056110	8056109
1ydw	A	Q9SZ83	8056145	8056144
4woj	A	Q8G8T7	8058772	8058771
4zhs	A	A0A140UHG6	8058778	8058777
5c7i	O	Q64467	8068869	8068868
3h9e	O	O14556	8068871	8068870
4p8r	A	Q38AR9	8068883	8068882
2pkq	O	P12860	8068923	8068922
4f3y	A	Q2SZ94	8071794	8071793
5kt0	A	Q3MFY8	8071798	8071797
5eer	A	P40110	8071800	8071799
2h63	D	P53004	8081407	8081406
5o1n	A	Q9UDR5	8089056	8089055
6fzh	A	P68777	8095199	8095198
5z2e	A	A0A3B6UER2	8095747	8095746
7c5f	R	A0A140NCK4	8096384	8096383
7d1g	A	A6LR04	8102643	8102642
1sc6	A	P0A9T0	8017558	8001019
2bru	A	P07001	8065360	8065359
4cuj	A	Q8Z780	8078021	8078020
3kb6	A	O66939	8079250	8079249
3wtc	A	Q5FPC4	8068105	8068104
4e6p	A	Q92N06	8068107	8068106
4weo	A	B4EAZ8	8068119	8068118
5vps	A	B1YU47	8068129	8068128
3v8b	D	Q92U42	8068137	8068136
3pgx	A	Q73SC8	8068147	8068146
5mln	A	B8K244	8068149	8068148
2y93	A	Q46381	8068161	8068160
5if3	A	A4JKB1	8073595	8073594
3enk	B	Q3JPI3	8073940	8073939
3uxy	B	Q3IVH6	8076545	8076544
5o98	A	A0A0C5DR25	8077781	8077780
2qq5	A	Q96LJ7	8078281	8078280
2yy7	A	Q8KZM4	8080008	8080007
3f4b	A	Q6TEI5	8083272	8083271
4mow	D	B4E6Z1	8092061	8051082
4dyv	A	A7IGZ0	8092063	8051085
6jhb	B	L8NWH6	8094229	8094228
6pzn	A	A0A1S2FVD8	8095081	8095080
